Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress Score®,Grit,Flow,Climb Time,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp
Running,2021-02-18 16:45:48,true,"Antwerp Running","6.00","342","00:24:08","149","165","2.9","180","191","4:01","3:31","34","29","1.38","0.0","0.0","0.0","0.0","0.0","24:08","0:00","15.0","0:00","No","04:33.26","4","0.0"
Running,2021-02-16 08:51:57,false,"Antwerp Running","6.39","505","00:30:01","170","181","4.0","178","184","4:42","4:10","43","19","1.20","0.0","0.0","0.0","0.0","0.0","30:01","0:00","15.0","0:00","No","07:10.68","4","0.0"
Running,2021-02-14 17:04:51,false,"Antwerp Running","9.00","651","00:41:29","160","175","3.8","178","188","4:36","3:59","67","54","1.22","0.0","0.0","0.0","0.0","0.0","41:29","0:00","15.0","0:00","No","03:57.98","6","0.0"
Running,2021-02-11 08:27:55,false,"Zaventem Running","5.00","352","00:23:44","150","169","3.0","178","184","4:45","4:20","49","16","1.18","0.0","0.0","0.0","0.0","0.0","23:44","0:00","7.0","0:00","No","00:48.40","4","0.0"
Running,2021-02-10 08:37:24,false,"Antwerp Running","5.57","393","00:26:42","150","168","3.1","178","184","4:48","4:25","67","12","1.18","0.0","0.0","0.0","0.0","0.0","26:42","0:00","7.0","0:00","No","03:48.35","4","0.0"
Running,2021-02-09 12:36:51,false,"Antwerp Running","5.00","323","00:20:57","157","169","3.1","181","188","4:11","3:36","43","22","1.32","0.0","0.0","0.0","0.0","0.0","20:57","0:00","10.0","0:00","No","00:44.35","4","0.0"
Running,2021-02-07 12:17:40,false,"Antwerp Running","11.18","856","01:00:01","151","169","3.6","176","184","5:22","4:48","101","67","1.06","0.0","0.0","0.0","0.0","0.0","1:00:01","0:00","7.0","0:00","No","08:14.65","7","0.0"
Running,2021-02-06 08:58:43,false,"Antwerp Running","9.00","693","00:44:13","162","175","4.2","176","184","4:55","4:15","48","43","1.15","0.0","0.0","0.0","0.0","0.0","44:13","0:00","15.0","0:00","No","04:40.39","6","0.0"
Running,2021-02-04 11:12:12,false,"Antwerp Running","6.00","395","00:25:57","156","168","3.1","178","188","4:19","3:50","45","8","1.30","0.0","0.0","0.0","0.0","0.0","25:57","0:00","14.0","0:00","No","05:00.95","4","0.0"
Running,2021-02-01 19:06:04,false,"Antwerp Running","9.00","689","00:42:22","165","176","4.2","177","201","4:42","4:18","59","39","1.20","0.0","0.0","0.0","0.0","0.0","42:22","0:00","16.0","0:00","No","04:27.77","6","0.0"
Running,2021-01-29 14:24:41,false,"Antwerp Running","18.14","1,439","01:41:17","155","175","3.6","171","182","5:35","4:33","106","68","1.05","0.0","0.0","0.0","0.0","0.0","1:41:17","0:00","15.0","0:00","No","02:31.79","12","0.0"
